purchase_month,total_orders,delivered_orders,delivered_rate_pct
2016-09,4,1.0,25.0
2016-10,324,265.0,81.79
2016-12,1,1.0,100.0
2017-01,800,750.0,93.75
2017-02,1780,1653.0,92.87
2017-03,2682,2546.0,94.93
2017-04,2404,2303.0,95.8
2017-05,3700,3546.0,95.84
2017-06,3245,3135.0,96.61
2017-07,4026,3872.0,96.17
2017-08,4331,4193.0,96.81
2017-09,4285,4150.0,96.85
2017-10,4631,4478.0,96.7
2017-11,7544,7289.0,96.62
2017-12,5673,5513.0,97.18
2018-01,7269,7069.0,97.25
2018-02,6728,6555.0,97.43
2018-03,7211,7003.0,97.12
2018-04,6939,6798.0,97.97
2018-05,6873,6749.0,98.2
2018-06,6167,6099.0,98.9
2018-07,6292,6159.0,97.89
2018-08,6512,6351.0,97.53
2018-09,16,0.0,0.0
2018-10,4,0.0,0.0
